LED #,LED PWM (%),LED current (%),Duration (s)
1,75.3,97.0,0.002
1,75.4,97.0,0.002
1,75.5,97.0,0.002
1,75.5,97.0,0.002
1,75.6,97.0,0.002
1,75.6,97.0,0.002
1,75.7,97.0,0.002
1,75.7,97.0,0.002
1,75.8,97.0,0.002
1,75.8,97.0,0.002
1,75.9,97.0,0.002
1,75.9,97.0,0.002
1,76.0,97.0,0.002
1,76.0,97.0,0.002
1,76.1,97.0,0.002
1,76.2,97.0,0.002
1,76.2,97.0,0.002
1,76.3,97.0,0.002
1,76.3,97.0,0.002
1,76.4,97.0,0.002
1,76.4,97.0,0.002
1,76.5,97.0,0.002
1,76.5,97.0,0.002
1,76.6,97.0,0.002
1,76.6,97.0,0.002
1,76.7,97.0,0.002
1,76.7,97.0,0.002
1,76.8,97.0,0.002
1,76.8,97.0,0.002
1,76.9,97.0,0.002
1,76.9,97.0,0.002
1,77.0,97.0,0.002
1,77.1,97.0,0.002
1,77.1,97.0,0.002
1,77.2,97.0,0.002
1,77.2,97.0,0.002
1,77.3,97.0,0.002
1,77.3,97.0,0.002
1,77.4,97.0,0.002
1,77.4,97.0,0.002
1,77.5,97.0,0.002
1,77.5,97.0,0.002
1,77.6,97.0,0.002
1,77.6,97.0,0.002
1,77.7,97.0,0.002
1,77.7,97.0,0.002
1,77.8,97.0,0.002
1,77.8,97.0,0.002
1,77.9,97.0,0.002
1,77.9,97.0,0.002
1,78.0,97.0,0.002
1,78.1,97.0,0.002
1,78.1,97.0,0.002
1,78.2,97.0,0.002
1,78.2,97.0,0.002
1,78.3,97.0,0.002
1,78.3,97.0,0.002
1,78.4,97.0,0.002
1,78.4,97.0,0.002
1,78.5,97.0,0.002
1,78.5,97.0,0.002
1,78.6,97.0,0.002
1,78.6,97.0,0.002
1,78.7,97.0,0.002
1,78.7,97.0,0.002
1,78.8,97.0,0.002
1,78.8,97.0,0.002
1,78.9,97.0,0.002
1,78.9,97.0,0.002
1,79.0,97.0,0.002
1,79.0,97.0,0.002
1,79.1,97.0,0.002
1,79.1,97.0,0.002
1,79.2,97.0,0.002
1,79.2,97.0,0.002
1,79.3,97.0,0.002
1,79.3,97.0,0.002
1,79.4,97.0,0.002
1,79.4,97.0,0.002
1,79.5,97.0,0.002
1,79.5,97.0,0.002
1,79.6,97.0,0.002
1,79.6,97.0,0.002
1,79.7,97.0,0.002
1,79.7,97.0,0.002
1,79.8,97.0,0.002
1,79.8,97.0,0.002
1,79.9,97.0,0.002
1,79.9,97.0,0.002
1,80.0,97.0,0.002
1,80.0,97.0,0.002
1,80.1,97.0,0.002
1,80.1,97.0,0.002
1,80.2,97.0,0.002
1,80.2,97.0,0.002
1,80.3,97.0,0.002
1,80.3,97.0,0.002
1,80.4,97.0,0.002
1,80.4,97.0,0.002
1,80.5,97.0,0.002
1,80.5,97.0,0.002
1,80.6,97.0,0.002
1,80.6,97.0,0.002
1,80.7,97.0,0.002
1,80.7,97.0,0.002
1,80.8,97.0,0.002
1,80.8,97.0,0.002
1,80.9,97.0,0.002
1,80.9,97.0,0.002
1,81.0,97.0,0.002
1,81.0,97.0,0.002
1,81.1,97.0,0.002
1,81.1,97.0,0.002
1,81.2,97.0,0.002
1,81.2,97.0,0.002
1,81.3,97.0,0.002
1,81.3,97.0,0.002
1,81.4,97.0,0.002
1,81.4,97.0,0.002
1,81.5,97.0,0.002
1,81.5,97.0,0.002
1,81.6,97.0,0.002
1,81.6,97.0,0.002
1,81.7,97.0,0.002
1,81.7,97.0,0.002
1,81.8,97.0,0.002
1,81.8,97.0,0.002
1,81.9,97.0,0.002
1,81.9,97.0,0.002
1,82.0,97.0,0.002
1,82.0,97.0,0.002
1,82.1,97.0,0.002
1,82.1,97.0,0.002
1,82.2,97.0,0.002
1,82.2,97.0,0.002
1,82.3,97.0,0.002
1,82.3,97.0,0.002
1,82.4,97.0,0.002
1,82.4,97.0,0.002
1,82.4,97.0,0.002
1,82.5,97.0,0.002
1,82.5,97.0,0.002
1,82.6,97.0,0.002
1,82.6,97.0,0.002
1,82.7,97.0,0.002
1,82.7,97.0,0.002
1,82.8,97.0,0.002
1,82.8,97.0,0.002
1,82.9,97.0,0.002
1,82.9,97.0,0.002
1,83.0,97.0,0.002
1,83.0,97.0,0.002
1,83.1,97.0,0.002
1,83.1,97.0,0.002
1,83.2,97.0,0.002
1,83.2,97.0,0.002
1,83.3,97.0,0.002
1,83.3,97.0,0.002
1,83.3,97.0,0.002
1,83.4,97.0,0.002
1,83.4,97.0,0.002
1,83.5,97.0,0.002
1,83.5,97.0,0.002
1,83.6,97.0,0.002
1,83.6,97.0,0.002
1,83.7,97.0,0.002
1,83.7,97.0,0.002
1,83.8,97.0,0.002
1,83.8,97.0,0.002
1,83.9,97.0,0.002
1,83.9,97.0,0.002
1,84.0,97.0,0.002
1,84.0,97.0,0.002
1,84.0,97.0,0.002
1,84.1,97.0,0.002
1,84.1,97.0,0.002
1,84.2,97.0,0.002
1,84.2,97.0,0.002
1,84.3,97.0,0.002
1,84.3,97.0,0.002
1,84.4,97.0,0.002
1,84.4,97.0,0.002
1,84.5,97.0,0.002
1,84.5,97.0,0.002
1,84.5,97.0,0.002
1,84.6,97.0,0.002
1,84.6,97.0,0.002
1,84.7,97.0,0.002
1,84.7,97.0,0.002
1,84.8,97.0,0.002
1,84.8,97.0,0.002
1,84.9,97.0,0.002
1,84.9,97.0,0.002
1,85.0,97.0,0.002
1,85.0,97.0,0.002
1,85.0,97.0,0.002
1,85.1,97.0,0.002
1,85.1,97.0,0.002
1,85.2,97.0,0.002
1,85.2,97.0,0.002
1,85.3,97.0,0.002
1,85.3,97.0,0.002
1,85.4,97.0,0.002
1,85.4,97.0,0.002
1,85.4,97.0,0.002
1,85.5,97.0,0.002
1,85.5,97.0,0.002
1,85.6,97.0,0.002
1,85.6,97.0,0.002
1,85.7,97.0,0.002
1,85.7,97.0,0.002
1,85.8,97.0,0.002
1,85.8,97.0,0.002
1,85.8,97.0,0.002
1,85.9,97.0,0.002
1,85.9,97.0,0.002
1,86.0,97.0,0.002
1,86.0,97.0,0.002
1,86.1,97.0,0.002
1,86.1,97.0,0.002
1,86.1,97.0,0.002
1,86.2,97.0,0.002
1,86.2,97.0,0.002
1,86.3,97.0,0.002
1,86.3,97.0,0.002
1,86.4,97.0,0.002
1,86.4,97.0,0.002
1,86.4,97.0,0.002
1,86.5,97.0,0.002
1,86.5,97.0,0.002
1,86.6,97.0,0.002
1,86.6,97.0,0.002
1,86.7,97.0,0.002
1,86.7,97.0,0.002
1,86.7,97.0,0.002
1,86.8,97.0,0.002
1,86.8,97.0,0.002
1,86.9,97.0,0.002
1,86.9,97.0,0.002
1,87.0,97.0,0.002
1,87.0,97.0,0.002
1,87.0,97.0,0.002
1,87.1,97.0,0.002
1,87.1,97.0,0.002
1,87.2,97.0,0.002
1,87.2,97.0,0.002
1,87.3,97.0,0.002
1,87.3,97.0,0.002
1,87.3,97.0,0.002
1,87.4,97.0,0.002
1,87.4,97.0,0.002
1,87.5,97.0,0.002
1,87.5,97.0,0.002
1,87.5,97.0,0.002
1,87.6,97.0,0.002
1,87.6,97.0,0.002
1,87.7,97.0,0.002
1,87.7,97.0,0.002
1,87.8,97.0,0.002
1,87.8,97.0,0.002
1,87.8,97.0,0.002
1,87.9,97.0,0.002
1,87.9,97.0,0.002
1,88.0,97.0,0.002
1,88.0,97.0,0.002
1,88.0,97.0,0.002
1,88.1,97.0,0.002
1,88.1,97.0,0.002
1,88.2,97.0,0.002
1,88.2,97.0,0.002
1,88.2,97.0,0.002
1,88.3,97.0,0.002
1,88.3,97.0,0.002
1,88.4,97.0,0.002
1,88.4,97.0,0.002
1,88.4,97.0,0.002
1,88.5,97.0,0.002
1,88.5,97.0,0.002
1,88.6,97.0,0.002
1,88.6,97.0,0.002
1,88.6,97.0,0.002
1,88.7,97.0,0.002
1,88.7,97.0,0.002
1,88.8,97.0,0.002
1,88.8,97.0,0.002
1,88.8,97.0,0.002
1,88.9,97.0,0.002
1,88.9,97.0,0.002
1,89.0,97.0,0.002
1,89.0,97.0,0.002
1,89.0,97.0,0.002
1,89.1,97.0,0.002
1,89.1,97.0,0.002
1,89.2,97.0,0.002
1,89.2,97.0,0.002
1,89.2,97.0,0.002
1,89.3,97.0,0.002
1,89.3,97.0,0.002
1,89.4,97.0,0.002
1,89.4,97.0,0.002
1,89.4,97.0,0.002
1,89.5,97.0,0.002
1,89.5,97.0,0.002
1,89.5,97.0,0.002
1,89.6,97.0,0.002
1,89.6,97.0,0.002
1,89.7,97.0,0.002
1,89.7,97.0,0.002
1,89.7,97.0,0.002
1,89.8,97.0,0.002
1,89.8,97.0,0.002
1,89.9,97.0,0.002
1,89.9,97.0,0.002
1,89.9,97.0,0.002
1,90.0,97.0,0.002
1,90.0,97.0,0.002
1,90.0,97.0,0.002
1,90.1,97.0,0.002
1,90.1,97.0,0.002
1,90.2,97.0,0.002
1,90.2,97.0,0.002
1,90.2,97.0,0.002
1,90.3,97.0,0.002
1,90.3,97.0,0.002
1,90.3,97.0,0.002
